,All,Poland
United Kingdom,63 686,853
England,53 541,724
North East,2 580,13
North West,7 048,75
Yorkshire and The Humber ,5 299,60
East Midlands,4 560,79
West Midlands,5 640,80
East,5 923,78
London,8 455,185
Inner London,3 346,45
Outer London,5 109,141
South East,8 718,94
South West,5 317,60
Wales,3060,24
Scotland,5264,82
Northern Ireland,1 821,23
