age,all,men,woman
all,2320,"1148,2","1171,8"
0-4,"83,3","43,7","39,6"
5-9,"98,6","50,8","47,7"
10-14,"79,5","40,7","38,8"
15-19,"78,1","39,8","38,3"
20-24,"139,7",68,"71,7"
25-29,"287,8","134,8",153
30-34,"401,2","194,6","206,6"
35-39,"313,4","159,8","153,5"
40-44,"206,8","106,7","100,1"
45-49,"160,2",82,"78,2"
50-54,"154,4","79,2","75,2"
55-59,"134,4","67,7","66,8"
60-64,83,"40,3","42,7"
65-69,"38,6","17,7",21
70-74,"21,1","8,8","12,3"
75+,"39,9","13,6","26,3"
