nationality,all,male,female
Poland,698,343,355
Republic of Ireland,353,157,196
India,349,198,151
Pakistan,176,95,82
France,150,70,80
United States of America,140,60,80
Lithuania,140,64,76
Italy,123,65,58
Germany,122,48,73
China,120,55,65
Nigeria,109,61,48
Portugal,108,54,54
Romania,98,47,50
South Africa,84,40,44
Philippines,83,37,46
Bangladesh,82,49,33
Spain,74,32,42
Australia,72,31,42
Slovakia,64,28,36
Latvia,64,32,31
Netherlands,61,32,29
Sri Lanka,58,31,27
Zimbabwe,55,27,28
Jamaica,54,28,26
Canada,52,21,31
Hungary,48,24,24
Somalia,46,19,27
Iran,44,26,18
Bulgaria,44,23,21
Turkey,42,23,19
Brazil,41,19,23
New Zealand,41,21,20
Ghana,41,18,23
Sweden,38,16,22
Japan,38,13,25
Czech Republic,36,16,20
Nepal,36,18,18
Greece,32,16,15
Malaysia,30,14,16
Afghanistan,30,17,13
Russia,28,9,20
Thailand,27,4,23
Libya,26,15,11
Iraq,25,14,10
Belgium,22,10,12
Mauritius,19,10,9
South Korea,19,11,8
Denmark,19,9,9
Saudi Arabia,17,10,7
East Timor,15,8,7
Kenya,15,7,8
Ukraine,15,8,6
Norway,14,7,8
Austria,14,5,9
Cyprus (Non-European Union),14,6,8
Taiwan,14,7,7
Albania,13,7,6
Finland,12,4,9
Algeria,12,8,5
Eritrea,12,7,4
