,All,Poland
United Kingdom,65 611,905
England,55 287,766
North East,2 616,17
North West,7 194,69
Yorkshire and The Humber ,5 404,79
East Midlands,4 723,106
West Midlands,5 811,95
East,6 144,90
London,8 896,147
Inner London,3 574,44
Outer London,5 321,103
South East,9 005,91
South West,5 495,72
Wales,3 104,25
Scotland,5 364,87
Northern Ireland,1 856,27
