nationality,all,male,female
Poland,853,415,439
India,365,192,173
Republic of Ireland,331,145,186
Pakistan,210,116,94
Romania,175,89,86
Portugal,175,80,95
Italy,170,90,80
France,160,71,89
Lithuania,155,72,84
United States of America,153,72,81
Spain,131,61,70
Germany,131,53,77
China,121,53,67
Latvia,108,49,58
Nigeria,94,53,41
Australia,87,42,44
Hungary,85,46,39
Netherlands,82,42,41
Slovakia,79,37,42
South Africa,69,34,35
Bangladesh,61,34,28
Sri Lanka,61,31,30
Bulgaria,59,31,28
Philippines,58,22,36
Nepal,55,29,26
Greece,54,28,26
Somalia,54,26,28
Jamaica,49,22,27
Zimbabwe,49,23,26
Canada,48,18,30
Turkey,47,24,23
Iran,44,27,18
Iraq,40,23,17
New Zealand,39,19,20
Ghana,38,18,20
Afghanistan,38,20,18
Czech Republic,37,15,21
Malaysia,33,14,19
Sweden,32,12,20
Brazil,28,13,15
Japan,28,9,19
Russia,27,8,19
Denmark,26,10,16
Thailand,24,4,20
Libya,23,11,12
Saudi Arabia,22,14,8
Austria,18,6,12
Norway,17,7,11
Belgium,17,8,9
Cyprus (European Union),17,8,8
Eritrea,14,9,6
Kenya,14,6,8
Estonia,14,5,9
Finland,14,3,11
Vietnam,13,6,7
Mauritius,13,7,6
Syria,12,7,5
Ukraine,12,4,8
Colombia,12,5,7
South Korea,11,4,7
