,All,Poland
United Kingdom,66 006,900
England,55 642,761
North East,2 622,12
North West,7 221,82
Yorkshire and The Humber ,5 426,73
East Midlands,4 753,107
West Midlands,5 845,85
East,6 191,93
London,8 986,142
Inner London,3 613,35
Outer London,5 373,107
South East,9 065,100
South West,5 534,67
Wales,3 115,27
Scotland,5 385,91
Northern Ireland,1 864,22
