,All,Poland
United Kingdom,59 629,137
England,49 946,131
North East,2 514,1
North West,6 786,8
Yorkshire and The Humber ,5 044,13
East Midlands,4 272,11
West Midlands,5 319,8
East,5 491,10
London,7 452,57
Inner London,2 927,28
Outer London,4 525,29
South East,8 071,18
South West,4 995,5
Wales,2936,1
Scotland,5040,5
Northern Ireland,1 706,.
