nationality,all,male,female
Republic of Ireland,379,171,208
India,200,96,104
United States of America,114,54,60
Italy,107,58,49
Germany,99,42,57
Pakistan,94,51,43
South Africa,91,46,45
France,90,41,49
Australia,86,42,45
Portugal,84,41,43
Poland,69,33,36
Somalia,67,29,38
China,65,32,32
Zimbabwe,65,30,34
Bangladesh,58,32,26
Nigeria,52,26,26
Turkey,50,29,22
Philippines,50,19,31
Jamaica,50,22,27
Spain,47,17,30
Ghana,41,21,20
Canada,41,18,23
Netherlands,40,15,25
Sri Lanka,40,21,19
Iran,37,24,12
New Zealand,34,19,15
Greece,34,19,15
Malaysia,32,15,17
Iraq,29,21,8
Japan,28,10,18
Sweden,24,10,14
Lithuania,22,12,11
Russia,21,6,15
Brazil,21,10,11
Kenya,19,9,10
Denmark,17,8,9
Colombia,16,6,10
Thailand,14,4,11
Libya,14,7,7
Mauritius,13,7,7
South Korea,12,6,6
Czech Republic,12,4,8
Zambia,12,4,7
Norway,12,4,7
Uganda,11,4,7
Algeria,11,9,2
Austria,11,5,6
Romania,10,5,5
Belgium,10,5,5
Cyprus (European Union),10,6,4
Bulgaria,9,3,6
Ukraine,9,4,5
Finland,9,2,7
Slovakia,9,3,6
Malta,8,5,4
Egypt,8,5,3
Sierra Leone,7,3,5
Tanzania,7,3,3
Hungary,7,2,4
Mexico,7,3,4
