nationality,all,male,female
Poland,713,340,373
India,360,188,171
Republic of Ireland,317,135,182
Pakistan,181,96,86
United States of America,162,72,90
France,144,68,76
Lithuania,143,67,75
Germany,133,51,82
Italy,131,71,60
Portugal,116,59,57
Romania,108,52,57
Nigeria,108,60,48
China,105,51,54
Bangladesh,85,49,36
Spain,80,38,42
South Africa,74,39,35
Latvia,71,31,40
Philippines,68,28,40
Australia,68,33,35
Netherlands,68,36,31
Slovakia,66,29,36
Canada,58,23,35
Bulgaria,56,31,24
Jamaica,53,25,29
Sri Lanka,53,25,28
Zimbabwe,53,27,26
Hungary,50,25,26
Turkey,46,24,23
Somalia,46,22,24
Czech Republic,43,21,22
Sweden,41,16,25
Nepal,41,21,20
Ghana,40,19,21
Iran,39,23,15
New Zealand,38,19,19
Russia,37,13,24
Brazil,36,17,19
Japan,34,11,23
Libya,34,19,14
Greece,33,18,15
Taiwan,33,13,20
Afghanistan,31,19,12
Iraq,30,18,12
Malaysia,25,10,15
Thailand,24,3,21
Denmark,21,7,14
Cyprus (Non-European Union),21,11,10
Belgium,21,8,13
Kenya,20,9,11
Saudi Arabia,19,10,9
Mauritius,19,8,11
South Korea,18,7,10
Norway,17,7,9
Colombia,16,6,10
Vietnam,16,7,9
Finland,14,5,9
East Timor,14,8,6
Switzerland,14,6,8
Eritrea,13,5,8
Ukraine,13,4,9
