Województwa,Ogółem,Mężczyźni,Kobiety
Ogółem,"2415,0","1204,1","1210,9"
Dolnośląskie,"228,4","112,2","116,2"
Kujawsko-pomorskie,"127,9","66,2","61,7"
Lubelskie,"133,5","65,6","68,0"
Lubuskie,"75,4","37,3","38,0"
Łódzkie,"89,4","45,1","44,3"
Małopolskie,"220,4","110,0","110,5"
Mazowieckie,"168,6","82,6","86,0"
Opolskie,"136,3","66,5","69,8"
Podkarpackie,"210,5","105,5","105,0"
Podlaskie,"129,7","64,2","65,6"
Pomorskie,"160,1","79,9","80,2"
Śląskie,"273,9","135,0","138,9"
Świętokrzyskie,"74,7","37,3","37,4"
Warmińsko-mazurskie,"128,3","64,6","63,6"
Wielkopolskie,"128,9","65,4","63,5"
Zachodniopomorskie,"128,9","66,6","62,3"
