nationality,all,male,female
Poland,1 002,491,511
India,362,179,183
Republic of Ireland,335,149,186
Romania,328,171,157
Italy,233,127,106
Portugal,213,109,105
Lithuania,203,95,108
Pakistan,195,103,92
France,183,81,102
Spain,165,79,86
United States of America,151,60,91
Germany,144,57,86
China,139,61,78
Latvia,102,44,58
Slovakia,101,45,56
Nigeria,99,49,50
Hungary,94,45,49
Netherlands,93,51,42
Australia,86,42,44
Bulgaria,85,46,39
South Africa,72,36,36
Bangladesh,68,30,37
Greece,62,32,30
Philippines,60,22,39
Canada,54,25,29
Czech Republic,52,23,29
Sri Lanka,50,23,28
Nepal,47,23,24
Russia,47,19,28
Turkey,46,26,19
Brazil,44,21,23
Sweden,43,20,23
Zimbabwe,41,17,24
New Zealand,40,23,17
Afghanistan,39,22,17
Japan,39,14,25
Iraq,39,25,14
Jamaica,38,17,20
Ghana,36,16,20
Iran,35,21,14
Somalia,35,16,19
Malaysia,31,14,17
Austria,29,13,16
Belgium,28,13,15
Denmark,23,9,15
Thailand,22,7,15
Eritrea,20,12,8
Albania,20,12,8
Colombia,19,9,10
Saudi Arabia,19,10,9
Egypt,19,11,8
Sudan,18,10,8
Syria,16,10,6
Ukraine,14,5,9
Cyprus (European Union),14,7,7
Norway,14,7,7
Singapore,13,6,7
Kenya,13,5,8
Libya,13,7,6
South Korea,12,5,7
