nationality,all,male,female
Poland,905,435,470
Romania,415,220,195
India,355,181,174
Republic of Ireland,331,144,187
Italy,300,168,131
Portugal,224,115,109
Lithuania,215,98,116
Pakistan,194,103,90
France,183,85,97
Spain,176,84,92
United States of America,148,69,79
Germany,140,58,82
China,138,58,80
Netherlands,109,49,60
Bulgaria,101,48,52
Latvia,98,48,50
Nigeria,94,48,46
South Africa,86,42,44
Bangladesh,83,43,41
Australia,80,40,40
Hungary,77,37,40
Greece,74,45,29
Slovakia,72,34,39
Philippines,68,23,45
Turkey,62,34,28
Brazil,59,28,31
Sri Lanka,49,22,27
Zimbabwe,48,24,24
Ghana,47,19,28
Czech Republic,46,15,30
Nepal,46,22,24
Sweden,43,16,28
Canada,43,18,25
Iraq,40,22,18
New Zealand,40,23,16
Afghanistan,39,21,18
Syria,39,19,20
Japan,38,12,26
Jamaica,34,19,15
Malaysia,34,15,18
Iran,32,23,9
Somalia,30,11,18
Denmark,28,15,14
Russia,27,10,17
Albania,26,12,14
Thailand,24,5,19
Belgium,23,10,12
Finland,21,8,13
Norway,21,11,10
Eritrea,19,9,10
Kenya,16,8,8
Ukraine,15,6,9
Colombia,14,7,8
Switzerland,14,6,7
Algeria,13,5,8
Vietnam,13,4,9
Austria,13,5,8
Saudi Arabia,13,6,7
Sudan,13,8,5
Estonia,12,3,9
