,All,Poland
United Kingdom,60 036,249
England,50 301,229
North East,2 520,4
North West,6 818,19
Yorkshire and The Humber ,5 070,25
East Midlands,4 309,29
West Midlands,5 353,17
East,5 535,24
London,7 530,74
Inner London,2 958,30
Outer London,4 572,45
South East,8 139,25
South West,5 028,12
Wales,2952,5
Scotland,5061,12
Northern Ireland,1 722,4
