nationality,all,male,female
Poland,564,278,286
Republic of Ireland,354,170,183
India,335,183,152
Pakistan,161,82,79
United States of America,148,61,87
Germany,126,51,75
France,121,56,65
China,112,54,58
Italy,108,56,53
Portugal,104,50,53
Lithuania,99,46,52
South Africa,96,48,49
Nigeria,95,52,44
Bangladesh,85,48,36
Romania,78,42,36
Australia,74,32,42
Philippines,74,30,44
Spain,66,32,34
Zimbabwe,65,29,35
Somalia,57,25,32
Canada,53,23,31
Slovakia,50,24,27
Jamaica,50,24,26
Latvia,49,23,26
Sri Lanka,48,25,23
Netherlands,47,25,23
New Zealand,47,24,23
Bulgaria,46,25,21
Ghana,45,21,23
Turkey,42,22,20
Iran,38,23,15
Libya,37,23,15
Hungary,37,20,18
Iraq,37,23,14
Czech Republic,37,18,19
Nepal,35,19,16
Japan,34,11,23
Sweden,34,15,19
Malaysia,33,15,18
Brazil,33,16,17
Afghanistan,33,18,15
Greece,29,14,14
Russia,28,12,16
Thailand,26,8,19
Denmark,23,10,12
Mauritius,21,11,10
East Timor,19,11,9
Austria,19,7,12
Kenya,18,9,9
Belgium,17,7,10
Cyprus (Non-European Union),17,9,8
South Korea,15,7,9
Albania,14,8,6
Colombia,14,6,8
Norway,14,6,8
Yemen,13,7,6
Finland,12,3,9
Netherlands Antilles,12,6,6
"Gambia, The",11,5,5
Uganda,11,4,7
