,All,Poland
United Kingdom,61 022,502
England,51 146,427
North East,2 537,10
North West,6 875,50
Yorkshire and The Humber ,5 134,37
East Midlands,4 383,42
West Midlands,5 433,45
East,5 636,49
London,7 747,116
Inner London,3 051,40
Outer London,4 696,76
South East,8 290,46
South West,5 111,34
Wales,2992,16
Scotland,5126,46
Northern Ireland,1 759,13
