nationality,all
Poland,538
Republic of Ireland,335
India,313
Pakistan,194
United States of America,141
France,141
Germany,112
Italy,103
China,100
South Africa,100
Nigeria,100
Portugal,97
Bangladesh,81
Philippines,80
Lithuania,80
Australia,80
Zimbabwe,78
Spain,63
Somalia,61
Romania,57
Canada,56
Slovakia,54
Ghana,50
Jamaica,49
Turkey,47
Brazil,47
Netherlands,46
Nepal,43
New Zealand,43
Malaysia,39
Iran,36
Sri Lanka,35
Bulgaria,35
Iraq,31
Greece,31
Afghanistan,30
Czech Republic,30
Sweden,29
Japan,28
Libya,27
Latvia,27
Hungary,26
Thailand,23
Austria,22
Kenya,22
Denmark,21
Cyprus (Non-European Union),20
Russia,19
East Timor,19
Mauritius,17
Belgium,17
Netherlands Antilles,17
Norway,16
Saudi Arabia,16
Ukraine,14
Congo (Democratic Republic),14
Yemen,14
Albania,13
Cyprus (European Union),13
Switzerland,13
