nationality,all,male,female
Poland,900,415,485
Romania,450,241,209
India,365,177,188
Republic of Ireland,320,144,176
Italy,304,163,140
Portugal,251,129,122
Pakistan,207,104,103
France,191,98,93
Lithuania,189,87,103
Spain,188,89,100
Germany,143,64,80
United States of America,140,59,80
Bulgaria,121,66,54
China,112,43,69
Hungary,109,53,55
Latvia,100,46,53
Nigeria,98,50,49
Netherlands,88,45,44
Australia,86,37,49
South Africa,86,39,46
Slovakia,80,37,43
Philippines,74,30,44
Greece,66,29,36
Bangladesh,65,33,32
Brazil,54,26,28
Sweden,53,24,29
Nepal,51,27,24
Canada,49,20,29
Syria,47,24,23
Ghana,46,21,25
Zimbabwe,45,20,25
Sri Lanka,45,21,24
Turkey,43,25,18
New Zealand,42,25,17
Iran,39,23,16
Malaysia,38,16,22
Afghanistan,37,17,20
Czech Republic,37,16,21
Albania,36,19,17
Russia,36,11,25
Jamaica,35,15,20
Somalia,35,16,19
Japan,33,11,23
Iraq,32,21,12
Belgium,30,17,13
Thailand,25,5,21
Ukraine,25,9,16
Norway,22,11,11
Denmark,22,10,12
Sudan,22,12,10
Saudi Arabia,19,11,8
Moldova,18,11,7
Finland,17,5,12
Egypt,17,9,8
Switzerland,17,8,8
Colombia,16,7,9
Eritrea,14,8,6
Cyprus (European Union),13,8,5
Kenya,13,7,7
Vietnam,13,5,8
