nationality,all,male,female
Poland,1021,495,526
Romania,411,229,182
Republic of Ireland,350,155,195
India,346,174,172
Italy,297,150,147
Portugal,235,118,116
Lithuania,199,90,109
Pakistan,188,97,91
Spain,182,88,94
France,181,77,103
Germany,154,63,91
China,147,62,84
United States of America,133,53,80
Latvia,117,57,60
Nigeria,102,50,51
Hungary,98,43,55
Netherlands,97,45,52
Australia,87,43,44
Bulgaria,86,46,41
Bangladesh,84,39,45
Slovakia,82,35,47
South Africa,72,30,42
Greece,70,39,30
Philippines,61,23,38
Canada,55,24,31
Zimbabwe,50,23,27
Czech Republic,49,21,28
Sri Lanka,48,23,25
Turkey,46,27,20
Nepal,45,22,23
Malaysia,44,18,26
Sweden,43,15,28
Ghana,42,18,23
Brazil,40,17,23
Afghanistan,40,24,16
New Zealand,39,20,19
Somalia,38,16,22
Japan,35,11,24
Iraq,35,20,15
Russia,35,11,23
Denmark,32,14,18
Jamaica,28,11,17
Iran,28,19,9
Albania,26,16,10
Belgium,25,9,16
Thailand,25,6,18
Syria,23,14,9
Saudi Arabia,21,12,9
Cyprus (European Union),19,7,11
Austria,18,8,11
Finland,16,5,11
Ukraine,16,7,9
Kenya,15,5,10
Algeria,15,9,6
Sudan,15,8,6
Switzerland,14,3,11
Colombia,14,7,7
Libya,12,4,8
Norway,12,6,6
Sierra Leone,12,5,7
