,All,Poland
United Kingdom,64 727,1 002
England,54 517,858
North East,2 603,16
North West,7 105,93
Yorkshire and The Humber ,5 350,86
East Midlands,4 642,97
West Midlands,5 717,86
East,6 049,96
London,8 764,208
Inner London,3 506,60
Outer London,5 258,148
South East,8 879,107
South West,5 409,69
Wales,3073,29
Scotland,5296,91
Northern Ireland,1 841,24
