nationality,all,male,female
Poland,696 000 ,316 000 ,380 000 
India,370 000 ,186 000 ,184 000 
Republic of Ireland,370 000 ,171 000 ,199 000 
Italy,342 000 ,179 000 ,164 000 
Romania,342 000 ,179 000 ,163 000 
Portugal,268 000 ,134 000 ,135 000 
Spain,206 000 ,102 000 ,105 000 
Pakistan,181 000 ,96 000 ,85 000 
Nigeria,178 000 ,83 000 ,95 000 
United States of America,166 000 ,71 000 ,95 000 
Lithuania,153 000 ,61 000 ,92 000 
France,149 000 ,66 000 ,84 000 
Germany,135 000 ,51 000 ,84 000 
China,124 000 ,54 000 ,70 000 
Hungary,118 000 ,52 000 ,67 000 
South Africa,101 000 ,50 000 ,51 000 
Netherlands,92 000 ,44 000 ,48 000 
Latvia,90 000 ,31 000 ,59 000 
Australia,87 000 ,47 000 ,40 000 
Bulgaria,79 000 ,39 000 ,40 000 
Brazil,79 000 ,38 000 ,40 000 
Canada,75 000 ,27 000 ,48 000 
Greece,73 000 ,42 000 ,31 000 
Bangladesh,70 000 ,32 000 ,38 000 
Slovakia,58 000 ,25 000 ,34 000 
Ghana,57 000 ,21 000 ,36 000 
Philippines,53 000 ,18 000 ,36 000 
Russia,49 000 ,18 000 ,31 000 
New Zealand,48 000 ,26 000 ,22 000 
Turkey,48 000 ,27 000 ,21 000 
Sweden,45 000 ,15 000 ,30 000 
Jamaica,44 000 ,22 000 ,21 000 
Sri Lanka,41 000 ,21 000 ,19 000 
Zimbabwe,40 000 ,17 000 ,22 000 
Iran,37 000 ,22 000 ,15 000 
Japan,36 000 ,17 000 ,19 000 
Malaysia,35 000 ,13 000 ,21 000 
Czech Republic,33 000 ,18 000 ,15 000 
Denmark,32 000 ,13 000 ,19 000 
Syria,28 000 ,13 000 ,15 000 
Belgium,26 000 ,11 000 ,15 000 
Egypt,25 000 ,14 000 ,10 000 
Sudan,24 000 ,13 000 ,11 000 
Cyprus (European Union),21 000 ,12 000 ,9 000 
Thailand,21 000 ,4 000 ,17 000 
Albania,21 000 ,11 000 ,9 000 
Israel,20 000 ,11 000 ,9 000 
Somalia,20 000 ,12 000 ,8 000 
Nepal,20 000 ,9 000 ,11 000 
Iraq,20 000 ,9 000 ,10 000 
Austria,19 000 ,10 000 ,9 000 
Norway,19 000 ,9 000 ,10 000 
Mexico,18 000 ,7 000 ,11 000 
Afghanistan,18 000 ,12 000 ,6 000 
Ukraine,18 000 ,6 000 ,12 000 
Indonesia,17 000 ,7 000 ,9 000 
Malta,16 000 ,9 000 ,8 000 
Colombia,16 000 ,5 000 ,11 000 
Zambia,15 000 ,8 000 ,7 000 
Singapore,15 000 ,5 000 ,10 000 
