,All,Poland
United Kingdom,60 522,399
England,50 714,345
North East,2 530,7
North West,6 846,31
Yorkshire and The Humber ,5 100,31
East Midlands,4 347,39
West Midlands,5 389,28
East,5 581,41
London,7 627,106
Inner London,3 002,34
Outer London,4 626,72
South East,8 216,41
South West,5 078,21
Wales,2973,11
Scotland,5095,28
Northern Ireland,1 741,15
