,All,Poland
United Kingdom,61 958,564
England,51 975,479
North East,2 555,10
North West,6 939,47
Yorkshire and The Humber ,5 191,45
East Midlands,4 448,49
West Midlands,5 502,50
East,5 735,47
London,7 998,131
Inner London,3 153,38
Outer London,4 845,92
South East,8 440,58
South West,5 168,43
Wales,3016,16
Scotland,5182,56
Northern Ireland,1 785,14
