,All,Poland
United Kingdom,62 480,698
England,52 437,593
North East,2 565,7
North West,6 975,52
Yorkshire and The Humber ,5 224,62
East Midlands,4 478,62
West Midlands,5 544,62
East,5 790,72
London,8 141,156
Inner London,3 215,41
Outer London,4 926,115
South East,8 513,69
South West,5 207,51
Wales,3030,17
Scotland,5218,72
Northern Ireland,1 794,16
