,All,Poland
United Kingdom,63 270,736
England,53 164,605
North East,2 575,10
North West,7 024,62
Yorkshire and The Humber ,5 275,58
East Midlands,4 533,62
West Midlands,5 607,59
East,5 877,74
London,8 348,143
Inner London,3 302,47
Outer London,5 046,95
South East,8 648,87
South West,5 278,51
Wales,3049,22
Scotland,5246,84
Northern Ireland,1 812,25
