,All,Poland
United Kingdom,66282000,738000
England,55894000,605000
North East,2623000,10000
North West,7235000,66000
Yorkshire and The Humber,5436000,53000
East Midlands,4775000,75000
West Midlands,5868000,69000
East,6227000,92000
London,9057000,120000
Inner London,3642000,33000
Outer London,5414000,87000
South East,9109000,68000
South West,5565000,53000
Wales,3122000,25000
Scotland,5396000,92000
Northern Ireland,1869000,17000
