,All,Poland
United Kingdom,62 893,713
England,52 818,615
North East,2 570,9
North West,7 003,64
Yorkshire and The Humber ,5 252,55
East Midlands,4 508,66
West Midlands,5 577,53
East,5 834,67
London,8 244,154
Inner London,3 258,47
Outer London,4 985,107
South East,8 584,89
South West,5 245,56
Wales,3040,19
Scotland,5232,63
Northern Ireland,1 803,16
