nationality,all,male,female
Poland,916,451,465
India,362,183,179
Republic of Ireland,332,150,182
Romania,233,120,113
Portugal,219,105,115
Italy,192,105,88
Pakistan,187,101,87
Lithuania,170,78,92
France,165,74,91
United States of America,161,67,93
China,140,67,73
Germany,135,51,84
Spain,132,57,75
Nigeria,106,54,52
Latvia,97,43,54
Slovakia,93,41,51
Australia,89,42,47
Hungary,82,38,45
Netherlands,81,40,41
Bangladesh,72,35,38
South Africa,70,33,37
Bulgaria,66,35,31
Greece,56,30,26
Canada,54,23,31
Philippines,53,19,33
Sri Lanka,51,22,29
Jamaica,49,24,25
Nepal,47,25,21
Zimbabwe,45,19,26
Czech Republic,45,17,28
Iran,44,28,16
Ghana,42,16,26
Somalia,41,20,21
Turkey,40,22,18
New Zealand,38,20,18
Japan,37,12,24
Russia,36,13,23
Sweden,34,14,20
Iraq,33,17,15
Brazil,32,12,20
Afghanistan,32,17,15
Malaysia,31,15,16
Denmark,30,13,18
Belgium,26,12,13
Thailand,23,4,19
Saudi Arabia,23,12,12
Albania,21,15,6
Eritrea,19,11,8
Norway,18,8,10
Egypt,18,11,7
Syria,17,9,8
Kenya,17,7,10
Ukraine,15,7,8
Austria,14,5,9
Cyprus (European Union),13,8,6
Colombia,13,6,8
Vietnam,12,5,8
Morocco,12,5,7
Switzerland,11,4,7
Sierra Leone,11,5,6
