"Countries of the UK, unitary authorities, local authorities, metropolitan and London boroughs and counties",,All,,Laos,,Latvia,,Lebanon,,Libya,,Lithuania,,Luxembourg,,Macedonia,,Malawi,,Malaysia,,Malta,,Mauritius,,Mexico,,Moldova,,Morocco,,Netherlands,,New Zealand,,Nigeria,,Norway,,Pakistan,,Philippines,,Poland,,Portugal,,Republic of Ireland,,Romania,,Russia,,San Marino,,Seychelles,,Sierra Leone,,Singapore,,Slovakia,,Slovenia,,Somalia,,South Africa,,South Korea,,Spain,,Sri Lanka,,Sudan (Ex),,Sweden,,Switzerland,,Taiwan,,Tanzania,,Thailand,,Trinidad and Tobago,,Tunisia,,Turkey,,Uganda,,Ukraine,,United States of America,,Uruguay,,Vatican City,,Venezuela,,Vietnam,,Zambia,,Zimbabwe,
Area Code4,Area Name,estimate,"CI5, 6 +/-",estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000003,  Redcar and Cleveland,137,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,0,0
E06000004,  Stockton-on-Tees,183,z,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0~,1,.,.,0~,1,.,.,0,1,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,1,1
E11000007,  Tyne and Wear (Met County),1 070,z,.,.,.,.,.,.,2,1,.,.,.,.,.,.,.,.,1,1,c,c,.,.,c,c,.,.,.,.,c,c,.,.,c,c,c,c,1,1,1,1,c,c,0~,1,3,2,c,c,1,1,.,.,.,.,.,.,c,c,.,.,.,.,.,.,1,1,0,1,c,c,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,c,c,.,.,c,c,c,c,.,.,.,.,.,.,.,.,.,.,.,.
E08000037,    Gateshead,190,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,c,c,.,.,c,c,0,0,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.
E08000021,    Newcastle upon Tyne,262,z,.,.,.,.,.,.,2,1,.,.,.,.,.,.,.,.,1,1,c,c,.,.,c,c,.,.,.,.,.,.,.,.,.,.,c,c,1,1,0~,1,c,c,c,c,1,1,c,c,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,c,c,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.
E08000022,    North Tyneside,191,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E08000023,    South Tyneside,149,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,c,c,.,.,.,.,.,.,0,0,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E08000024,    Sunderland,277,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1,.,.,c,c,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E12000002,North West,6 756,z,.,.,c,c,c,c,2,2,c,c,.,.,.,.,2,2,3,2,1,1,.,.,1,1,.,.,c,c,1,1,2,2,3,2,.,.,13,4,4,2,4,2,1,1,37,7,c,c,1,1,.,.,1,1,c,c,1,1,c,c,c,c,5,3,6,3,c,c,3,2,1,1,1,1,2,2,c,c,c,c,.,.,0,1,c,c,0,1,3,2,.,.,0,1,4,2,.,.,.,.,c,c,c,c,1,1,3,2
E06000008,  Blackburn with Darwen,140,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,1,1,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.
E06000009,  Blackpool,139,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,c,c,.,.,.,.,0~,0~,c,c,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.
E06000049,  Cheshire East15,353,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.
E06000050,  Cheshire West and Chester16,322,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,c,c,c,c,.,.,.,.,.,.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E06000006,  Halton,119,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E06000007,  Warrington,189,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,0~,1,.,.,1,1,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,.,.
E10000006,  Cumbria,487,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,c,c,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.
