,All,Poland
United Kingdom,64 265,916
England,54 086,783
North East,2 596,11
North West,7 081,97
Yorkshire and The Humber ,5 322,69
East Midlands,4 614,84
West Midlands,5 687,84
East,6 005,88
London,8 594,184
Inner London,3 426,46
Outer London,5 169,138
South East,8 812,105
South West,5 375,61
Wales,3066,26
Scotland,5282,86
Northern Ireland,1 830,21
