nationality,all
Republic of Ireland,362
India,267
Poland,249
France,123
United States of America,117
Pakistan,112
South Africa,109
Italy,98
Germany,93
Portugal,91
China,86
Australia,85
Bangladesh,85
Nigeria,72
Philippines,71
Zimbabwe,66
Jamaica,58
Somalia,57
Turkey,54
Lithuania,54
Spain,53
Ghana,53
Netherlands,52
Sri Lanka,51
Slovakia,47
Canada,45
Brazil,39
Iraq,37
New Zealand,36
Malaysia,35
Sweden,33
Iran,27
Greece,26
Japan,25
Czech Republic,24
Denmark,19
Russia,19
Latvia,18
Kenya,18
Colombia,17
Belgium,17
Uganda,15
Albania,14
Bulgaria,14
Mauritius,14
Romania,14
Finland,14
Ukraine,13
Trinidad and Tobago,13
Hungary,12
South Korea,12
Switzerland,12
Cyprus (European Union),12
Sierra Leone,11
Norway,10
Zambia,10
Austria,10
Vietnam,10
Libya,10
Algeria,9
