,All,Poland
United Kingdom,61 461,538
England,51 529,457
North East,2 543,9
North West,6 904,46
Yorkshire and The Humber ,5 159,40
East Midlands,4 413,48
West Midlands,5 464,45
East,5 679,43
London,7 878,116
Inner London,3 107,36
Outer London,4 771,79
South East,8 355,68
South West,5 133,43
Wales,3005,15
Scotland,5154,51
Northern Ireland,1 773,14
