Województwa,Ogółem,Mężczyźni,Kobiety
Ogółem,"2540,0","1263,6","1276,4"
Dolnośląskie,"238,8","117,1","121,7"
Kujawsko-pomorskie,"134,5","69,4","65,1"
Lubelskie,"140,6","68,9","71,7"
Lubuskie,"79,0","38,9","40,0"
Łódzkie,"93,8","47,2","46,6"
Małopolskie,"232,3","115,6","116,7"
Mazowieckie,"178,5","87,4","91,1"
Opolskie,"142,4","69,5","73,0"
Podkarpackie,"221,8","110,9","110,9"
Podlaskie,"136,7","67,5","69,2"
Pomorskie,"168,3","83,8","84,5"
Śląskie,"288,3","141,7","146,7"
Świętokrzyskie,"78,8","39,3","39,5"
Warmińsko-mazurskie,"135,1","67,9","67,1"
Wielkopolskie,"135,5","68,6","66,9"
Zachodniopomorskie,"135,5","69,8","65,7"
