nationality,all
Poland,502
Republic of Ireland,348
India,295
Pakistan,189
France,138
United States of America,131
China,103
South Africa,103
Italy,101
Germany,94
Portugal,90
Nigeria,90
Australia,85
Somalia,76
Philippines,75
Zimbabwe,71
Bangladesh,70
Spain,65
Lithuania,61
Ghana,54
Jamaica,52
Netherlands,46
Slovakia,45
Sri Lanka,44
Turkey,44
Brazil,44
Canada,41
Romania,37
Malaysia,35
Iraq,35
Nepal,33
Iran,31
Afghanistan,31
New Zealand,30
Bulgaria,29
Latvia,29
Japan,28
Russia,27
Greece,26
Czech Republic,26
Sweden,25
Libya,24
Kenya,23
Thailand,23
Hungary,22
Denmark,22
Cyprus (Non-European Union),22
Mauritius,17
Uganda,17
Belgium,16
East Timor,16
Netherlands Antilles,16
Norway,16
Zambia,15
Colombia,15
Saudi Arabia,15
South Korea,12
Austria,12
Albania,12
Eritrea,11
