,All,Poland
United Kingdom,65 176,1 021
England,54 932,868
North East,2 611,16
North West,7 134,91
Yorkshire and The Humber ,5 375,91
East Midlands,4 673,108
West Midlands,5 751,96
East,6 102,92
London,8 888,193
Inner London,3 560,68
Outer London,5 328,125
South East,8 951,118
South West,5 448,63
Wales,3 081,26
Scotland,5 311,99
Northern Ireland,1 852,29
