age,all,men,woman
"all,""2455,0"",""1222,8"",""1232,2"""
"  0-4 ,""74,1"",""38,9"",""35,2"""
"   5-9,""83,0"",""43,3"",""39,7"""
" 10-14,""95,2"",""49,1"",""46,2"""
"15-19,""85,3"",""43,6"",""41,7"""
"20-24,""135,8"",""67,5"",""68,3"""
"25-29,""224,6"",""111,1"",""113,6"""
"30-34,""329,9"",""160,7"",""169,3"""
"35-39,""369,0"",""183,8"",""185,2"""
"40-44,""270,1"",""140,1"",""130,0"""
"45-49,""191,1"",""98,2"",""92,9"""
"50-54,""168,4"",""85,3"",""83,1"""
"55-59,""156,6"",""78,8"",""77,8"""
"60-64,""118,7"",""58,3"",""60,4"""
"65-69,""65,3"",""30,6"",""34,7"""
"70-74,""32,6"",""14,2"",""18,3"""
"75+,""55,1"",""19,4"",""35,7"""
