Województwa,Ogółem,Mężczyźni,Kobiety
Ogółem,"2397,0","1188,9","1208,1"
Dolnośląskie,"223,5","109,3","114,2"
Kujawsko-pomorskie,"127,0","65,3","61,7"
Lubelskie,"132,9","64,9","67,9"
Lubuskie,"74,1","36,3","37,8"
Łódzkie,"88,3","44,3","44,0"
Małopolskie,"219,9","109,1","110,7"
Mazowieckie,"169,8","83,0","86,8"
Opolskie,"133,2","64,9","68,3"
Podkarpackie,"209,8","104,5","105,3"
Podlaskie,"129,3","63,7","65,6"
Pomorskie,"158,7","78,8","79,9"
Śląskie,"272,4","133,3","139,1"
Świętokrzyskie,"74,8","37,2","37,5"
Warmińsko-mazurskie,"127,7","64,1","63,6"
Wielkopolskie,"127,8","64,5","63,3"
Zachodniopomorskie,"127,9","65,5","62,3"
