nationality,all,male,female
Republic of Ireland,388,170,218
India,168,76,92
United States of America,104,45,59
Italy,95,48,47
France,94,42,53
Pakistan,91,45,46
South Africa,79,38,41
Australia,76,34,42
Somalia,70,30,39
Portugal,69,33,36
Germany,69,28,41
Bangladesh,60,30,30
Jamaica,59,29,30
China,59,29,30
Spain,51,23,28
Sri Lanka,48,28,20
Turkey,48,25,22
Philippines,40,12,28
Nigeria,40,17,22
Zimbabwe,39,20,19
New Zealand,39,21,18
Netherlands,37,17,21
Poland,37,17,20
Ghana,35,19,16
Canada,32,15,16
Iran,30,18,12
Japan,28,13,15
Greece,25,15,10
Iraq,23,16,6
Malaysia,21,11,10
Sweden,20,8,13
Kenya,17,8,9
Russia,15,5,10
Uganda,15,8,7
Sierra Leone,15,5,10
Albania,13,8,5
Norway,13,6,7
Denmark,13,6,6
Czech Republic,12,4,7
Belgium,12,5,7
Mauritius,12,6,6
Finland,12,3,9
Colombia,11,5,6
Thailand,11,4,7
Brazil,11,4,6
Lithuania,10,5,5
Ukraine,10,5,5
Cyprus (European Union),10,6,4
Romania,10,6,4
Switzerland,9,3,6
Libya,9,5,4
Sudan (Ex),9,4,5
Morocco,9,5,4
Trinidad and Tobago,9,3,6
Egypt,8,5,3
Hungary,8,3,4
Algeria,8,6,2
Guyana,8,3,5
Austria,8,4,4
Vietnam,8,4,4
